date_bin,daily_cpu_allocs,daily_gpu_allocs
2023-11-23T05:00:00Z,994,32
2023-11-24T05:00:00Z,670,32
2023-11-25T05:00:00Z,630,30
2023-11-26T05:00:00Z,642,30
2023-11-27T05:00:00Z,674,30
2023-11-28T05:00:00Z,722,31
2023-11-29T05:00:00Z,720,30
2023-11-30T05:00:00Z,811,30
2023-12-01T05:00:00Z,802,31
2023-12-02T05:00:00Z,618,30
2023-12-03T05:00:00Z,690,31
2023-12-04T05:00:00Z,802,31
2023-12-05T05:00:00Z,634,30
2023-12-06T05:00:00Z,662,31
2023-12-07T05:00:00Z,614,32
2023-12-08T05:00:00Z,616,31
2023-12-09T05:00:00Z,618,31
2023-12-11T05:00:00Z,622,32
2023-12-12T05:00:00Z,618,33
2023-12-13T05:00:00Z,660,34
2023-12-14T05:00:00Z,900,32
2023-12-15T05:00:00Z,710,34
2023-12-16T05:00:00Z,613,32
2023-12-17T05:00:00Z,616,32
2023-12-18T05:00:00Z,627,33
2023-12-19T05:00:00Z,720,33
2023-12-20T05:00:00Z,745,35
2023-12-21T05:00:00Z,644,33
2023-12-22T05:00:00Z,618,31
2023-12-23T05:00:00Z,642,30
2023-12-27T05:00:00Z,611,30
2023-12-30T05:00:00Z,659,31
2024-01-01T05:00:00Z,614,30
2024-01-02T05:00:00Z,802,30
2024-01-03T05:00:00Z,638,31
2024-01-04T05:00:00Z,612,32
2024-01-05T05:00:00Z,627,34
2024-01-06T05:00:00Z,623,32
2024-01-07T05:00:00Z,617,31
2024-01-08T05:00:00Z,625,37
2024-01-09T05:00:00Z,1942,225
2024-01-10T05:00:00Z,2903,232
2024-01-11T05:00:00Z,3694,331
2024-01-12T05:00:00Z,4443,347
2024-01-13T05:00:00Z,3535,344
2024-01-14T05:00:00Z,3562,313
2024-01-15T05:00:00Z,4100,331
2024-01-16T05:00:00Z,5291,346
2024-01-17T05:00:00Z,4900,408
2024-01-18T05:00:00Z,4567,430
2024-01-19T05:00:00Z,4429,422
2024-01-20T05:00:00Z,3959,377
2024-01-21T05:00:00Z,3945,419
2024-01-22T05:00:00Z,4812,421
2024-01-23T05:00:00Z,5829,431
2024-01-24T05:00:00Z,5552,417
2024-01-25T05:00:00Z,5545,437
2024-01-26T05:00:00Z,7207,467
2024-01-27T05:00:00Z,5438,424
2024-01-28T05:00:00Z,4762,420
2024-01-29T05:00:00Z,5888,465
2024-01-30T05:00:00Z,6086,441
2024-01-31T05:00:00Z,5808,446
2024-02-01T05:00:00Z,5348,434
2024-02-02T05:00:00Z,6049,423
2024-02-03T05:00:00Z,5308,370
2024-02-04T05:00:00Z,4983,333
2024-02-05T05:00:00Z,5771,414
2024-02-06T05:00:00Z,6093,448
2024-02-07T05:00:00Z,6410,422
2024-02-08T05:00:00Z,6340,384
2024-02-09T05:00:00Z,5300,363
2024-02-10T05:00:00Z,4765,344
2024-02-11T05:00:00Z,5148,344
2024-02-12T05:00:00Z,6200,316
2024-02-13T05:00:00Z,6792,380
2024-02-14T05:00:00Z,6942,389
2024-02-15T05:00:00Z,6149,367
2024-02-16T05:00:00Z,6928,381
2024-02-17T05:00:00Z,6335,406
2024-02-18T05:00:00Z,6079,377
2024-02-19T05:00:00Z,7113,405
2024-02-20T05:00:00Z,9295,405
2024-02-21T05:00:00Z,8044,407
2024-02-22T05:00:00Z,8262,395
2024-02-23T05:00:00Z,8981,428
2024-02-24T05:00:00Z,7864,372
2024-02-25T05:00:00Z,7435,367
2024-02-26T05:00:00Z,8312,377
2024-02-27T05:00:00Z,9314,365
2024-02-28T05:00:00Z,8999,409
2024-02-29T05:00:00Z,7765,424
2024-03-01T05:00:00Z,7436,406
2024-03-02T05:00:00Z,6085,362
2024-03-03T05:00:00Z,5741,370
2024-03-04T05:00:00Z,7074,389
2024-03-05T05:00:00Z,6862,430
2024-03-06T05:00:00Z,7667,424
2024-03-07T05:00:00Z,6928,373
2024-03-08T05:00:00Z,7216,374
2024-03-09T05:00:00Z,6288,331
2024-03-10T05:00:00Z,5733,315
2024-03-11T04:00:00Z,8129,387
2024-03-12T04:00:00Z,7724,418
2024-03-13T04:00:00Z,6886,398
2024-03-14T04:00:00Z,5961,431
2024-03-15T04:00:00Z,7553,387
2024-03-16T04:00:00Z,6844,377
2024-03-17T04:00:00Z,5939,410
2024-03-18T04:00:00Z,7537,444
2024-03-19T04:00:00Z,7246,422
2024-03-20T04:00:00Z,8480,451
2024-03-21T04:00:00Z,8796,450
2024-03-22T04:00:00Z,7004,396
2024-03-23T04:00:00Z,6719,393
2024-03-24T04:00:00Z,6268,378
2024-03-25T04:00:00Z,6319,411
2024-03-26T04:00:00Z,7403,417
2024-03-27T04:00:00Z,7241,412
2024-03-28T04:00:00Z,8211,416
2024-03-29T04:00:00Z,7610,373
2024-03-30T04:00:00Z,6426,411
2024-03-31T04:00:00Z,5869,408
2024-04-01T04:00:00Z,7912,448
2024-04-02T04:00:00Z,8852,448
2024-04-03T04:00:00Z,7769,483
2024-04-04T04:00:00Z,7599,496
2024-04-05T04:00:00Z,8087,462
2024-04-06T04:00:00Z,7189,415
2024-04-07T04:00:00Z,7381,443
2024-04-08T04:00:00Z,7179,460
2024-04-09T04:00:00Z,8320,478
2024-04-10T04:00:00Z,9330,486
2024-04-11T04:00:00Z,10763,490
2024-04-12T04:00:00Z,10404,480
2024-04-13T04:00:00Z,8646,409
2024-04-14T04:00:00Z,6766,400
2024-04-15T04:00:00Z,8678,425
2024-04-16T04:00:00Z,8824,434
2024-04-17T04:00:00Z,8307,456
2024-04-18T04:00:00Z,8283,463
2024-04-19T04:00:00Z,9685,464
2024-04-20T04:00:00Z,8877,443
